Title,Price,Image Url,Rating,Product Link,Description,ScrapedAt,Price_Numeric,Rating_Numeric
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB...","₹29,990",https://m.media-amazon.com/images/I/61Kfqt-h5-L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DG5CY2Y2,"Lightweight and Portable|Weighing only 1.67 kg, this laptop is perfect for students and professionals who are always on-the-go. | |Powerful Performance|Experience the power of the AMD Ryzen 3 7320U processor, with 6 MB of total cache and 4 cores, designed for serious productivity and multitasking. |...",2025-09-22T09:51:37.157868Z,29990,4.0
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edg...","₹47,990",https://m.media-amazon.com/images/I/71JbL3-8pOL._AC_UY218_.jpg,3.8 out of 5 stars,https://www.amazon.in/dp/B0DTK9DZB4,"10-core 13th Gen Intel Core i5-1334U superior performance optimized for efficiency. Its 12 threads, and 12MB L3 cache offer smooth multitasking and quick response times. | |Longer streaming time|Dynamic visuals with Intel Iris Xe Graphics, perfect for casual gaming and streaming your favourite shows...",2025-09-22T09:51:40.040186Z,47990,3.8
"Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD...","₹29,990",https://m.media-amazon.com/images/I/61k0gpxQwCL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0DG2GCTD7,It's all about the innovation. Acer products are designed for your needs and accessibility with powerful features fit for your lifestyle. The Aspire Lite packs a lot of power into the portable design to suit the multi-tasking needs of you and your family. Break the boundaries of performance every ti...,2025-09-22T09:51:40.734165Z,29990,3.9
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35...","₹68,990",https://m.media-amazon.com/images/I/61rES1ry1+L._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0BRT8BRKY,10-core 13th Gen Intel Core i5-1335U|12 threads and 12MB L3 cache help you power through with a dynamic processor. The Intel Iris Xᵉ graphics capture intricate details for captivating visuals. | |Upgraded memory and storage|16GB DDR4 RAM allows smooth multitasking and improved application performanc...,2025-09-22T09:51:44.119159Z,68990,3.7
HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin a...,"₹22,111.22",https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0DV984J97,"Processor - AMD Athlon Silver 7120U (up to 3.5 GHz max boost clock, 2 MB L3 cache, 2 cores, 2 threads) ; Memory - 8 GB DDR4-3200 MT/s (onboard); Storage - 256 GB PCIe NVMe M.2 SSD | Display and Graphics - 39.6 cm (15.6"") diagonal, HD (1366 x 768), narrow bezel, anti-glare, 250 nits, 45% NTSC; Graphi...",2025-09-22T09:51:46.117118Z,2211122,3.7
"HP 14, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micr...","₹36,990",https://m.media-amazon.com/images/I/71wXgNowzAL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0F9WNRWYS,"Processor -Intel Core i3-1315U (up to 4.5 GHz with Intel Turbo Boost Technology, 10 MB L3 cache, 6 cores, 8 threads) ; Memory - 8 GB DDR4-3200 MT/s (1 x 8 GB); Storage -512 GB PCIe NVMe M.2 SSD | Display and Graphics - 35.6 cm (14"") diagonal, FHD (1920 x 1080), micro-edge, anti-glare, 250 nits, 62.5...",2025-09-22T09:51:47.350173Z,36990,3.9
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U,Thin & Light Laptop (AMD Radeon iGPU/16GB...","₹37,994",https://m.media-amazon.com/images/I/71BZ8gtU6sL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0DTY1C216,"Processor : AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads) | Display : 14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, 250nits Brightness| Keyboard : Chiclet Keyboard | Graphics : Intergrated AMD Radeon Graphics | |Software : Microsoft 365 Basic w...",2025-09-22T09:51:50.824627Z,37994,3.9
"ASUS Vivobook S16,13th Gen,Intel Core i5-13420H,Metallic Design Laptop(Intel UHD...","₹54,990",https://m.media-amazon.com/images/I/71LwIxMzWDL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.in/dp/B0FBFM3KNL,"Processor : Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads) | Display : 16.0-inch, FHD+ (1920 x 1200) 16:10 aspect ratio, 144Hz refresh rate, 300nits Brightness, 45% NTSC color gamut, Anti-glare display, 89% Screen-to-body ratio| Keyboard : Backlit Chiclet Key...",2025-09-22T09:51:47.099798Z,54990,4.6
"Acer Aspire Lite, Intel Core i3 13th Gen - 1305U, 16GB RAM, 512GB SSD, Full HD 1...","₹31,990",https://m.media-amazon.com/images/I/619X5s7lZQL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0DKK15M2P,It's all about the innovation. Acer products are designed for your needs and accessibility with powerful features fit for your lifestyle. The Aspire Lite packs a lot of power into the portable design to suit the multi-tasking needs of you and your family. Break the boundaries of performance every ti...,2025-09-22T09:51:50.306482Z,31990,3.9
Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Act...,₹649,https://m.media-amazon.com/images/I/61WPsjqpo-L._AC_UY218_.jpg,3.8 out of 5 stars,https://www.amazon.in/dp/B0FFYH9N2K,"Stage 1 - learn alphabets: alphabets recognition and pronunciation. Write capital and small letters. Find the letter, it will speak out the letters- which the child needs to punch in on the key board | Stage 2 - words: spelling and pronunciation. Spelling test. Identification of pictures. Find the w...",2025-09-22T09:51:52.077754Z,649,3.8
"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD 15.6""/39.6 cm, Windows 11,...","₹46,990",https://m.media-amazon.com/images/I/61BxyLSVU7L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0FDQ2R315,"Processor: R7-7730U (8 Cores, up to 4.50 GHz, 16MB Cache) | RAM: 16GB: 1x16GB, DDR4, 3200 MT/s & Storage: 512GB SSD | Display: 15.6"" NT FHD 120Hz WVA IPS AG 250 nit Narrow Border LED-Backlit & AMD Radeon Graphics | Keyboard: Standard Keyboard | Ports: 1 USB 3.2 Gen1 Type-C port (data only), 1 USB 3....",2025-09-22T09:51:53.534375Z,46990,4.0
"HP OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, ...","₹61,990",https://m.media-amazon.com/images/I/71fHNU8KnQL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0F8P4Y7VF,"Snapdragon X Plus Processor for Performance on the Move| Stay productive wherever you go with the Snapdragon X processor offering 8 cores, 8 threads, and 12 MB L3 cache for responsive multitasking, and up to 47 TOPS of NPU power. | |Qualcomm Adreno Graphics for Enhanced Everyday Visuals| Enjoy smoot...",2025-09-22T09:51:55.328903Z,61990,3.9
"HP 15, 13th Gen Intel Core i5-1334U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edg...","₹47,990",https://m.media-amazon.com/images/I/71JbL3-8pOL._AC_UY218_.jpg,3.8 out of 5 stars,https://www.amazon.in/dp/B0DTK9DZB4,"10-core 13th Gen Intel Core i5-1334U superior performance optimized for efficiency. Its 12 threads, and 12MB L3 cache offer smooth multitasking and quick response times. | |Longer streaming time|Dynamic visuals with Intel Iris Xe Graphics, perfect for casual gaming and streaming your favourite shows...",2025-09-22T09:51:56.461584Z,47990,3.8
"Dell Inspiron 3535, AMD Ryzen 5-7530U, 16GB RAM, 512GB SSD, FHD WVA IPS 15.6""/39...","₹40,990",https://m.media-amazon.com/images/I/61diqHMquqL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DSFRQTGB,"R5-7530U | 16GB DDR4 | 512GB SSD | Win 11 + Office H&S 2024 | Radeon Graphics | 15.6"" NT FHD 120Hz WVA IPS AG 250 nit Narrow Border LED-Backlit | Standard Keyboard | 1 Year Onsite Hardware Service| Platinum Silver",2025-09-22T09:51:57.191865Z,40990,4.0
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U,Thin & Light Laptop (AMD Radeon iGPU/16GB...","₹37,994",https://m.media-amazon.com/images/I/71BZ8gtU6sL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0DTY1C216,"Processor : AMD Ryzen 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads) | Display : 14.0-inch, FHD (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, 250nits Brightness| Keyboard : Chiclet Keyboard | Graphics : Intergrated AMD Radeon Graphics | |Software : Microsoft 365 Basic w...",2025-09-22T09:51:58.903397Z,37994,3.9
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39....","₹31,990",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0CJBL2QWY,"The HP Laptop 15 (15S-FY5006TU) is a well-rounded notebook that combines performance with sleek design. It's equipped with the 12th Gen Intel Core i3-1215U processor, offering a solid performance base for productivity tasks and media consumption. The 15.6-inch FHD anti-glare screen provides a clear...",2025-09-22T09:52:00.038998Z,31990,4.0
Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm...,"₹57,990",https://m.media-amazon.com/images/I/71IjxF4prWL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0F2162VGQ,"Processor: Intel Core i7-13620H | Speed: 2.4 GHz (Base) - 4.9 GHz (Max), E-core 1.8 / 3.6GHz | 10 Cores | 16 Threads | 24MB Cache | Display: 15.3"" FHD (1920x1200) | 300Nits Brightness | Anti Glare |TUV Low Blue Light Certified | Memory and Storage: 8GB Soldered DDR5-4800 + 8GB SO-DIMM DDR5-4800, Max...",2025-09-22T09:52:04.732115Z,57990,4.0
"Acer Aspire Lite, Intel Core i3 13th Gen - 1305U, 16GB RAM, 512GB SSD, Full HD 1...","₹31,990",https://m.media-amazon.com/images/I/619X5s7lZQL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0DKK15M2P,It's all about the innovation. Acer products are designed for your needs and accessibility with powerful features fit for your lifestyle. The Aspire Lite packs a lot of power into the portable design to suit the multi-tasking needs of you and your family. Break the boundaries of performance every ti...,2025-09-22T09:52:02.554949Z,31990,3.9
"ASUS Vivobook S16,13th Gen,Intel Core i5-13420H,Metallic Design Laptop(Intel UHD...","₹54,990",https://m.media-amazon.com/images/I/71LwIxMzWDL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.in/dp/B0FBFM3KNL,"Processor : Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads) | Display : 16.0-inch, FHD+ (1920 x 1200) 16:10 aspect ratio, 144Hz refresh rate, 300nits Brightness, 45% NTSC color gamut, Anti-glare display, 89% Screen-to-body ratio| Keyboard : Backlit Chiclet Key...",2025-09-22T09:52:04.411498Z,54990,4.6
Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 G...,"₹18,990",https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg,3.4 out of 5 stars,https://www.amazon.in/dp/B0D7PTFFZH,"Processor : Whether you're at home, school, or work, get all the performance you need with the latest Intel Celeron N4500 Processor @ 1.10GHz ( 2 Cores, 4M Cache, up to 2.80 GHz); maintaining order and keeping your apps running consistently and smoothly. | Performance : 8GB LPDDR4X RAM for full-powe...",2025-09-22T09:52:05.862670Z,18990,3.4
"Dell Inspiron 3530, Intel Core i5 13th Gen - 1334U, 16GB RAM, 1TB SSD, FHD 15.6""...","₹52,990",https://m.media-amazon.com/images/I/710ChwsODKL._AC_UY218_.jpg,3.8 out of 5 stars,https://www.amazon.in/dp/B0DSFQZTVW,"PORTABLE POWERHOUSE: Weighing up to 162 kg with a slim profile, this laptop is perfect for students and professionals on-the-go, | ENHANCED PRODUCTIVITY: With 16GB of DDR4 RAM and a 1TB M2 PCIe NVMe SSD, you can multitask with ease and store all your files efficiently, | POWERFUL PROCESSING: Powered...",2025-09-22T09:52:09.884840Z,52990,3.8
"ASUS Vivobook 15, Intel Core i3-1315U 13th Gen, 15.6"" (39.62 cms) FHD, Thin and ...","₹32,990",https://m.media-amazon.com/images/I/715P4YWFq7L._AC_UY218_.jpg,4.1 out of 5 stars,https://www.amazon.in/dp/B0CYTD8DVF,"Processor: Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads) | Memory: 8GB DDR4 3200MHz on board with | Storage: 512GB M.2 NVMe PCIe 4.0 SSD | Graphics: Integrated Integrated Intel UHD Graphics | Display: 15.6-inch (39.62 cm) FHD (1920 x 1080) 16:9 aspect ratio, 6...",2025-09-22T09:52:09.167627Z,32990,4.1
"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB...","₹29,990",https://m.media-amazon.com/images/I/61Kfqt-h5-L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DG5CY2Y2,"Lightweight and Portable|Weighing only 1.67 kg, this laptop is perfect for students and professionals who are always on-the-go. | |Powerful Performance|Experience the power of the AMD Ryzen 3 7320U processor, with 6 MB of total cache and 4 cores, designed for serious productivity and multitasking. |...",2025-09-22T09:52:12.134035Z,29990,4.0
"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD 15.6""/39.6 cm, Windows 11,...","₹46,990",https://m.media-amazon.com/images/I/61BxyLSVU7L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0FDQ2R315,"Processor: R7-7730U (8 Cores, up to 4.50 GHz, 16MB Cache) | RAM: 16GB: 1x16GB, DDR4, 3200 MT/s & Storage: 512GB SSD | Display: 15.6"" NT FHD 120Hz WVA IPS AG 250 nit Narrow Border LED-Backlit & AMD Radeon Graphics | Keyboard: Standard Keyboard | Ports: 1 USB 3.2 Gen1 Type-C port (data only), 1 USB 3....",2025-09-22T09:52:11.043462Z,46990,4.0
"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (32 GB/512 GB SSD/Inte...","₹53,400",https://m.media-amazon.com/images/I/717tz-TAHEL._AC_UY218_.jpg,N/A,https://www.amazon.in/dp/B0FPBGJWVZ,"The Professional 15, powered by the efficient 13th-generation Intel Core i5‑1334U (with up to 4.6 GHz Turbo Boost and 10 cores/12 threads), paired with 32GB DDR4 RAM and fast PCIe NVMe SSD storage, shines as an everyday productivity laptop. It’s ideal for tasks like web browsing, office work, academ...",2025-09-22T09:52:13.970784Z,53400,
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35...","₹68,990",https://m.media-amazon.com/images/I/61rES1ry1+L._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0BRT8BRKY,10-core 13th Gen Intel Core i5-1335U|12 threads and 12MB L3 cache help you power through with a dynamic processor. The Intel Iris Xᵉ graphics capture intricate details for captivating visuals. | |Upgraded memory and storage|16GB DDR4 RAM allows smooth multitasking and improved application performanc...,2025-09-22T09:52:19.249248Z,68990,3.7
JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-c...,"₹10,999",https://m.media-amazon.com/images/I/61IDcxw27+L._AC_UY218_.jpg,2.9 out of 5 stars,https://www.amazon.in/dp/B0CKX9PY1H,Always-on internet with 4G LTE and Dual band Wi-Fi (2.4GHz and 5.0 GHz) | Processor: Mediatek MT 8788 Octa Core/ARM V8-A 64 bit / 4GB LPDDR4 RAM/ 64 GB Storage/ Expandable up to 256GB via SD card. | 990gms light & ultra-compact makes it easy to carry anywhere | Anti-glare HD Display & Stereo Speaker...,2025-09-22T09:52:15.867900Z,10999,2.9
"ASUS Vivobook 15,Smartchoice,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB R...","₹46,990",https://m.media-amazon.com/images/I/71CgmbyKMFL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DTYKLHYC,"Processor : Intel Core i5-13420H Processor 2.1 GHz (12MB Cache, up to 4.6 GHz, 8 cores, 12 Threads) | Display : 15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 60Hz refresh rate, 250nits Brightness | Keyboard : Backlit Chiclet Keyboard with Num-key | Memory : DDR4 16GB RAM, 512GB M.2 NVMe PCIe 4.0 S...",2025-09-22T09:52:17.808292Z,46990,4.0
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, ...","₹82,990",https://m.media-amazon.com/images/I/71CjP9jmqZL._AC_UY218_.jpg,4.7 out of 5 stars,https://www.amazon.in/dp/B0DZDDV7GC,"SPEED OF LIGHTNESS — MacBook Air with the M4 chip lets you blaze through work and play. With Apple Intelligence,* up to 18 hours of battery life,* and an incredibly portable design, you can take on anything, anywhere. | SUPERCHARGED BY M4 — The Apple M4 chip brings even more speed and fluidity to ev...",2025-09-22T09:52:20.978921Z,82990,4.7
"Acer Aspire Lite, AMD Ryzen 7-7730U, 16 GB RAM, 512 GB SSD, Full HD IPS,15.6""/39...","₹39,990",https://m.media-amazon.com/images/I/71JEGsayyGL._AC_UY218_.jpg,3.9 out of 5 stars,https://www.amazon.in/dp/B0FCXZ85YX,"Processor : AMD Ryzen 7 7730U processor(2 GHz base clock, up to 4.5 GHz max boost clock,16 MB L3 cache, 8 cores) | Memory: 16 GB of DDR4 Memory Upgradable up to 32GB, DDR4 3200 MHz | Storage:512 GB, PCIe Gen3 8 Gb/s up to 4 lanes, NVMe Upgradable up to 1 TB | Operating System: Windows 11 Home | Prei...",2025-09-22T09:52:23.696623Z,39990,3.9
Acer[SmartChoice Aspire Lite 12thGen Intel Core i5-12450H Premium Laptop(Win11Ho...,"₹40,990",https://m.media-amazon.com/images/I/612TNOGY-1L._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.in/dp/B0DDL495SX,"Processor: Intel Core i5-12450H Processor (2 GHz base clock, up to 4.4 GHz max boost clock, 12 MB L3 cache, 8 cores) | Memory: 16 GB of onboard LPDDR5 system memory | Storage: 512GB M.2 2280 Gen 4 PCIe, expandable up to 1TB | Operating System: Windows 11 Home |Preinstalled Software: MSO | Display :...",2025-09-22T09:52:22.683138Z,40990,4.0
"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) ...","₹81,990",https://m.media-amazon.com/images/I/71LuS4x7L8L._AC_UY218_.jpg,3.7 out of 5 stars,https://www.amazon.in/dp/B0FDKS93JV,"Processor, Memory & Storage: Intel Core i7-13620H (up to 4.9 GHz with Intel Turbo Boost Technology, 24 MB L3 cache, 10 cores, 16 threads)| Memory: 16 GB DDR4-3200 MT/s (1 x 16 GB) | Storage: 512 GB PCIe Gen4 NVMe M.2 SSD | Operating System & Preinstalled Software: Windows 11 Home | MS Office Home 20...",2025-09-22T09:52:24.905593Z,81990,3.7
"Dell Vostro 13th Gen Laptop Intel, Intel Core i3-1305U, 15.6"" FHD 120Hz 250 nits...","₹37,410",https://m.media-amazon.com/images/I/61RpPkMohgL._AC_UY218_.jpg,N/A,https://www.amazon.in/dp/B0FKNLR2FD,"i3-1305U | 16GB DDR4 | 512GB SSD | Win 11 + Office H&S 2024 | Intel® UHD Graphics | 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border | Standard Keyboard | 1 Year Onsite Hardware Service| Titan Grey",2025-09-22T09:52:25.562514Z,37410,
"Dell DB14255, R5-340 AI Processor, 16GB LPDDR5X, 512GB SSD, FHD Plus 14""/35.56 c...","₹65,990",https://m.media-amazon.com/images/I/71C6FE71VbL._AC_UY218_.jpg,N/A,https://www.amazon.in/dp/B07L7THGDV,"14.0"" FHD+ AG NT 300nits WVA/IPS Display w/ ComfortView Support",2025-09-22T09:52:28.621832Z,65990,
